id,w212,sex,comb_g,1_116783698,Gg_rs14877932,Gg_rs14885084,1_134165693,Gg_rs13939684,Gg_rs15427022,Gg_rs14891046,Gg_rs14893407,Gg_rs14895423,Gg_rs14084016,Gg_rs15015376,Gg_rs15777012,Gg_rs15749695,chr3_16000000,3_16300000,Gg_rs15282380,3_23988469,Gg_rs14327472,3_27044082,Gg_rs15308709,Gg_rs14334308,Gg_rs16251229,Gg_rs15321001,3_36969573,Gg_rs15326621,Gg_rs14342633,Gg_rs13675715,Gg_rs15337358,Gg_rs16263890,Gg_rs14349767,Gg_rs14355077,Gg_rs15352400,snp-17-141-24973-S-1,Gg_rs15361114,Gg_rs16281414,rbl1045,snp-136-57-976-S-1,Gg_rs15371495,Gg_rs16289999,Gg_rs14368844
34342,980,0,0.9,H,H,A,A,B,B,B,B,H,H,H,B,H,H,A,A,C,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,A,A,A,A,A,A,A,A
34343,NA,1,NA,B,H,H,H,B,B,B,B,H,H,H,B,H,H,H,H,B,B,B,B,B,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,H,H,H
34344,1380,1,30.5,B,B,H,-,H,H,H,H,B,H,H,H,H,B,-,A,C,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A
34346,NA,1,NA,B,B,B,A,A,A,A,A,A,H,H,B,H,-,H,A,C,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34347,NA,1,NA,H,H,H,H,H,H,H,H,H,A,A,B,B,-,B,H,-,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H
34349,1419,1,45.9,H,H,H,H,H,H,H,H,B,B,B,B,B,B,-,H,C,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34350,1233,1,42.4,H,A,A,A,A,A,A,A,A,B,B,A,B,B,B,A,-,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H
34351,775,0,1.5,B,B,H,A,A,A,A,A,A,B,B,H,B,B,B,H,-,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34352,847,0,1.4,H,H,B,B,B,B,B,A,A,A,H,A,H,H,H,H,-,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34353,1230,1,11.1,B,H,H,H,H,A,H,H,H,H,H,H,H,H,H,A,C,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34354,NA,1,NA,A,H,H,H,B,B,B,A,A,H,H,H,H,H,-,H,C,H,H,A,A,A,A,A,A,A,H,-,A,A,A,A,A,A,A,A,A,A,A,A
34355,1102,0,1.8,H,H,H,H,B,B,B,B,B,H,H,B,H,H,-,H,C,H,A,H,H,H,H,H,H,H,B,-,H,H,H,H,H,H,H,H,H,H,H,H
34356,1362,0,1.7,B,H,B,B,B,B,B,B,B,A,A,B,A,A,A,A,B,B,B,H,H,A,A,A,A,A,H,H,H,H,H,H,H,H,H,A,A,A,A,A
34357,1262,0,3.7,H,H,B,B,B,B,B,B,B,H,H,H,H,H,H,H,B,B,H,H,H,B,B,B,B,H,B,-,H,H,H,H,H,H,H,H,H,H,H,H
34358,1576,1,60.9,H,H,H,H,H,H,B,B,B,B,B,H,B,H,H,H,C,H,H,H,H,A,A,A,A,A,A,H,A,A,A,A,A,H,H,H,H,H,H,H
34359,1091,0,0.8,B,B,H,B,B,B,H,H,B,H,H,H,H,-,A,A,C,H,H,H,A,A,A,A,A,A,A,B,H,H,H,H,H,H,A,A,A,A,A,A
34361,1062,0,1.4,H,B,A,H,B,B,H,H,B,H,H,H,H,-,-,B,C,H,H,H,H,A,A,A,A,A,A,B,H,H,H,H,H,H,A,A,A,A,A,A
34362,1401,1,27,H,B,A,H,B,B,H,H,B,A,A,H,A,A,A,B,C,H,H,H,H,A,A,A,A,A,A,H,H,H,H,H,H,H,A,A,A,A,A,A
34363,1127,0,3.6,A,H,H,H,H,H,H,H,B,H,H,H,H,H,H,B,C,H,H,H,H,A,A,A,A,A,A,H,A,A,A,A,A,H,H,H,H,H,H,H
34364,1104,0,5,H,H,A,H,H,H,H,H,H,A,A,B,A,A,-,H,C,H,H,B,H,H,H,H,A,H,H,H,H,H,H,H,B,B,H,H,B,B,B,B
34366,1088,0,1,H,H,A,H,H,H,B,B,B,A,A,B,A,A,A,A,C,H,B,B,B,H,H,H,A,A,A,A,A,A,A,A,B,B,B,H,H,H,H,H
34367,NA,1,NA,A,H,A,H,H,H,H,H,H,A,A,B,A,A,-,A,C,H,B,B,B,B,B,B,H,H,H,A,A,A,A,A,H,H,H,H,B,B,B,B
34369,939,0,1.7,H,H,B,B,B,B,B,B,B,H,H,B,H,-,H,H,-,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34370,NA,0,NA,B,B,B,B,B,B,B,B,B,H,H,B,H,H,H,H,-,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34371,1758,1,35.6,A,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,-,A,H,B,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,H,H,H,H,H
34372,908,0,1,H,B,B,B,B,B,B,B,B,H,H,A,H,H,H,A,-,A,H,H,H,H,H,H,H,H,B,H,H,H,H,H,B,B,B,H,H,H,H,H
34373,NA,0,NA,H,B,B,B,B,B,H,H,H,A,H,H,H,H,H,H,-,A,A,H,A,H,H,H,H,H,H,H,H,A,A,A,H,H,H,H,A,A,A,A
34374,1049,1,33.6,A,A,A,A,A,A,A,A,H,H,H,H,B,B,B,H,C,H,H,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H
34376,939,0,1.5,A,A,H,H,H,H,H,H,H,A,A,H,B,B,-,B,-,A,A,A,A,B,B,B,B,B,B,-,H,B,B,B,B,B,H,H,H,H,H,H
34377,1180,1,34,A,A,B,H,H,H,H,H,B,H,H,B,H,H,A,A,-,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34378,1367,1,42.2,-,H,B,H,H,H,H,H,B,H,H,H,H,H,A,A,-,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34379,NA,0,NA,H,A,A,H,H,H,B,B,B,A,H,H,H,H,H,B,C,H,H,H,H,B,B,H,H,H,H,H,H,A,H,H,H,H,H,H,H,H,H,H
34380,1241,1,25.8,A,H,H,H,H,H,B,B,B,H,H,H,H,H,H,A,-,A,H,H,H,H,H,H,H,H,H,A,A,A,A,A,H,H,H,H,H,H,H,H
34381,926,0,5,A,A,A,H,H,H,H,H,H,H,H,H,H,H,-,A,C,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,H,H,H,H,A,A,H,H
34382,1312,0,3.5,H,H,B,B,B,B,B,B,B,H,H,H,H,H,H,A,B,B,B,H,H,H,H,H,H,H,B,-,H,H,H,H,H,H,H,H,H,H,H,H
34383,1021,0,9.5,H,A,A,A,A,A,A,A,A,B,B,H,B,B,H,H,C,H,H,A,A,A,A,H,H,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A
34384,1090,1,20.6,H,H,H,A,A,A,A,H,B,B,B,A,B,B,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H
34385,NA,0,NA,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,-,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,A,A,A
34386,867,0,1.6,B,H,H,H,H,H,B,B,B,A,H,B,H,H,H,A,C,H,H,H,B,B,B,B,B,B,H,A,A,A,A,A,A,A,A,A,A,A,A,A
34387,1299,1,19.1,B,H,B,-,B,B,B,H,H,A,H,B,H,H,H,A,C,H,B,B,B,B,B,B,B,B,-,A,A,A,A,A,A,A,A,A,A,A,A,A
34388,1390,1,27.9,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,A,-,A,A,H,H,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H
34389,1459,1,29.9,H,H,H,H,H,B,H,B,H,H,H,B,H,H,B,H,-,A,A,A,A,H,H,H,H,H,A,A,A,A,A,A,H,H,H,H,H,H,H,H
34390,1071,0,1.7,H,A,H,H,H,H,H,A,H,A,A,B,A,A,H,H,-,A,A,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34392,NA,1,NA,H,A,H,H,H,H,H,H,H,A,H,H,H,-,H,A,C,H,H,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H
34393,1049,0,1.6,B,H,A,H,H,H,H,B,B,B,B,H,B,B,H,H,C,H,H,H,A,H,H,H,H,H,H,H,H,H,A,A,A,A,A,B,B,B,B,B
34394,883,0,2.4,H,A,H,B,B,B,B,H,H,H,B,B,B,-,B,H,C,H,H,A,A,H,H,H,H,H,H,B,B,B,H,H,H,H,H,H,A,A,A,A
34395,835,0,4.2,H,A,H,B,B,B,B,H,B,B,B,-,B,B,H,H,C,H,H,H,A,H,H,H,H,-,-,-,H,H,A,A,A,A,A,B,B,B,B,B
34396,1019,0,1.9,A,-,H,H,H,H,H,H,H,A,H,A,H,H,H,A,-,A,H,H,-,H,H,H,H,H,H,-,A,A,A,A,H,H,H,H,H,H,-,-
34397,NA,1,NA,A,H,H,H,H,H,B,B,B,H,H,B,H,-,H,H,C,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,H,H,H,H,A,A,A,A
34398,NA,1,NA,B,B,B,B,B,B,B,B,B,H,H,B,H,A,H,H,-,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34399,802,0,1.6,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,-,A,A,A,A,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A
34401,NA,0,NA,H,A,H,H,H,H,H,B,B,H,B,B,B,B,B,H,C,H,H,H,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,A,A,A,A
34402,1032,0,4.8,H,A,H,H,H,H,H,H,H,B,B,H,B,-,-,H,B,B,B,A,A,A,A,A,A,A,H,B,A,A,A,A,A,A,A,A,A,A,A,A
34405,NA,1,NA,H,A,A,B,B,B,B,B,B,A,A,B,A,A,A,A,C,H,B,B,B,B,B,B,H,H,H,H,H,H,H,H,B,B,B,B,B,B,-,B
34406,940,0,NA,H,A,A,H,B,B,B,B,H,A,A,B,A,A,A,A,-,A,H,B,B,B,B,B,B,B,B,A,A,A,A,A,H,H,H,H,H,H,H,H
34407,NA,0,NA,B,H,A,A,H,H,H,H,A,A,A,B,A,A,A,A,C,A,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A
34408,NA,0,NA,H,H,A,H,B,B,B,B,B,A,A,B,A,-,A,H,C,H,H,B,B,B,B,B,H,H,H,A,A,A,A,A,H,H,H,H,H,H,H,H
34409,908,0,NA,H,H,A,H,H,H,B,B,H,A,A,B,A,-,A,A,C,H,B,B,B,B,B,B,B,B,B,-,A,A,A,A,H,H,H,H,H,H,H,H
34411,1162,0,NA,H,H,A,-,B,B,B,B,H,A,A,B,A,-,A,A,-,A,H,B,B,H,H,H,H,H,H,A,A,A,A,A,A,H,H,H,-,H,H,H
34413,NA,0,NA,H,H,A,A,B,B,B,B,B,A,A,B,A,A,A,H,C,H,H,B,B,H,H,H,A,A,A,H,-,H,H,H,B,B,B,B,B,B,-,B
34414,997,0,NA,H,H,H,A,H,H,B,B,H,A,A,A,H,H,H,A,-,A,A,A,A,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A
34416,1449,1,NA,B,A,A,A,H,H,H,H,H,A,A,B,A,-,A,A,-,A,H,B,B,H,H,H,H,B,B,A,A,A,A,A,H,H,H,H,H,H,H,H
34417,1719,1,NA,H,A,A,H,B,B,B,B,B,A,A,B,A,A,A,H,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,H,H,H,H,H,H,H,H,H
34419,1197,0,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,H,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34420,1042,0,NA,B,B,B,B,H,H,H,H,H,B,B,H,B,B,H,H,B,B,H,H,A,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H
34421,1129,0,NA,B,B,B,B,H,H,H,H,H,B,B,H,B,B,B,H,C,H,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H
34422,1245,0,NA,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,A,C,H,A,H,A,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H
34423,1093,0,NA,H,B,B,B,B,B,B,B,H,H,H,H,H,-,H,A,-,A,A,A,A,A,A,H,H,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A
34424,1474,1,NA,H,B,B,B,B,B,B,B,H,A,A,A,H,-,H,A,-,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34425,1425,1,NA,B,B,H,-,H,H,H,A,H,B,B,A,B,-,B,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H
34426,1460,1,NA,A,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,-,A,A,A,A,A,A,A,A,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A
34427,1609,1,NA,A,H,H,H,H,H,H,H,H,A,H,A,H,H,H,H,-,A,A,A,A,H,H,H,H,B,H,-,A,A,A,A,A,A,A,A,A,A,A,A
34428,NA,0,NA,B,H,A,A,H,H,H,H,H,H,H,B,H,H,B,B,C,H,H,H,H,A,A,A,A,A,A,H,A,A,A,A,A,A,A,A,A,A,A,A
34429,1420,1,NA,B,B,B,-,H,H,H,H,H,B,B,B,B,B,B,H,C,H,A,A,A,H,H,H,H,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H
34430,1352,0,NA,H,H,B,B,H,H,H,H,H,H,H,B,H,H,H,A,C,H,H,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H
34431,1810,1,NA,H,H,H,H,H,H,H,H,H,B,B,B,B,B,H,H,B,B,B,H,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,A,A
34432,1598,1,NA,H,B,H,H,B,B,B,H,H,H,H,B,H,H,H,A,C,H,H,H,H,A,A,A,A,A,H,-,H,A,A,A,H,H,H,H,H,H,H,H
34433,1205,1,NA,B,B,B,B,B,B,B,H,H,A,A,B,A,A,H,H,C,H,H,H,H,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A
34435,NA,0,NA,B,B,H,H,B,B,B,H,H,A,H,B,H,H,H,H,C,H,H,H,H,H,H,H,H,B,B,-,H,H,A,A,A,A,A,A,A,A,A,A
34436,NA,1,NA,A,A,H,H,H,B,H,H,B,H,H,H,H,H,H,H,-,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,H,H
34437,1999,1,NA,H,H,B,-,H,H,H,H,H,B,B,H,B,B,H,H,B,B,H,H,A,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H
34438,1353,1,NA,A,A,A,H,B,B,H,H,B,B,B,H,B,B,H,A,B,B,B,B,H,H,H,H,H,H,H,B,B,B,B,B,B,H,A,A,H,A,A,A
34440,1116,0,NA,B,B,B,A,A,A,H,B,B,B,B,B,B,B,B,H,-,A,A,A,A,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,-,H
34441,1193,0,NA,B,B,H,H,H,H,H,H,A,H,H,H,H,H,H,A,-,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34442,1318,0,NA,B,B,B,B,B,B,B,B,B,A,A,A,H,H,-,H,C,H,A,A,A,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,H,H,H,H
34443,1379,1,NA,H,H,H,-,H,H,H,H,H,B,B,H,B,B,B,H,C,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34444,NA,0,NA,H,H,H,H,H,H,H,H,H,B,B,B,B,B,H,H,B,B,H,H,A,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H
34445,1671,1,NA,H,H,H,B,H,A,H,H,H,H,H,H,H,H,H,H,-,A,A,A,A,A,A,H,H,H,H,B,B,B,B,B,B,B,H,H,H,A,A,A
34446,1025,0,NA,H,H,A,H,H,H,H,H,B,B,B,H,B,B,H,A,B,B,B,B,H,H,H,H,H,H,H,B,B,B,B,B,B,H,A,A,B,H,H,H
34447,1201,0,NA,H,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,C,H,H,H,H,H,H,H,H,H,H,-,B,B,B,B,B,B,H,H,H,H,H,H
34448,1526,1,NA,A,A,H,B,H,H,A,A,H,B,B,H,B,B,H,A,B,B,B,B,H,H,H,H,H,H,H,B,B,B,B,B,B,H,A,A,H,A,A,A
34449,1523,1,NA,H,B,H,H,H,H,H,H,A,A,A,H,H,H,H,H,C,H,H,H,A,A,A,H,H,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A
34501,919,0,1.1,B,H,H,A,A,A,H,H,B,A,A,H,A,A,A,A,-,A,A,H,A,H,H,H,H,H,H,-,A,A,A,A,A,A,A,A,A,H,H,H
34502,1050,0,3.9,H,H,H,A,A,A,A,A,H,H,B,H,B,-,H,-,-,H,H,A,A,H,H,H,H,H,H,-,A,A,A,H,H,H,H,H,H,H,H,H
34503,855,0,0.7,A,A,A,A,A,A,A,A,H,A,H,A,H,H,H,H,-,A,A,H,A,A,A,A,A,A,H,-,H,H,H,H,H,H,H,H,H,H,H,H
34505,800,0,1.8,H,H,H,H,H,H,H,A,A,H,H,H,H,H,A,H,C,H,H,H,A,H,H,H,H,H,A,H,H,H,H,H,H,H,H,H,H,H,H,H
34506,1337,1,27.8,H,B,B,B,H,H,H,A,A,H,-,B,H,H,A,-,C,H,H,H,A,H,H,H,H,H,A,H,H,H,H,H,B,B,B,B,B,B,B,B
34508,1530,1,20,A,A,H,H,H,H,H,A,A,H,H,A,H,H,A,H,-,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A
34509,1100,0,1.3,B,B,H,H,B,B,B,B,B,H,H,H,H,H,B,B,-,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A
34510,923,0,0.8,B,B,B,H,H,H,H,H,H,H,H,B,H,H,B,B,-,A,A,A,A,B,B,B,B,B,B,H,H,H,H,H,A,A,A,A,A,A,A,A
34511,899,0,1.2,H,A,A,A,A,A,A,H,A,H,H,B,H,H,H,A,-,A,A,A,A,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34512,920,1,14.3,B,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,H,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H
34514,1083,0,3.4,B,B,H,H,H,H,A,A,A,B,B,H,B,B,B,A,C,H,H,H,A,A,A,A,A,A,H,-,H,H,H,H,H,H,H,H,H,H,H,H
34515,1193,0,2.3,H,A,A,H,H,B,B,B,B,H,H,H,H,H,H,A,B,B,B,B,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,H,H,H,H,H
34516,1293,1,19.4,H,H,A,A,A,A,B,B,B,A,A,B,A,A,A,A,C,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,H,H,H,H,H,H,H
34517,1276,1,30.9,H,A,A,A,A,A,H,H,B,H,H,H,H,H,A,A,B,B,B,B,B,H,H,H,H,H,A,A,A,A,A,A,A,H,H,H,H,A,A,A
34518,808,0,2.3,H,H,A,A,A,A,B,B,B,H,H,B,H,H,H,H,-,A,A,A,A,A,A,H,H,H,A,A,A,A,A,A,A,H,H,H,H,A,A,A
34519,1323,1,39.8,A,A,A,A,A,A,H,H,B,B,B,B,B,B,H,H,-,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,A,H,H,H,H,H,-,H
34521,1297,1,17,H,H,H,B,B,H,H,B,B,A,A,B,A,A,-,A,-,A,H,H,H,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H
34522,1071,1,4.7,H,H,H,H,H,H,H,B,B,A,A,B,A,A,-,A,-,A,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34523,754,0,0.4,H,H,H,B,B,B,B,B,B,A,A,H,A,A,A,A,-,A,H,H,H,B,B,B,B,B,B,H,H,H,A,A,H,H,H,H,A,A,A,A
34525,1372,1,29.7,A,A,H,H,H,H,H,H,H,B,B,H,B,B,B,A,-,A,A,A,A,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34526,1311,1,42.7,H,H,H,H,H,A,A,A,A,B,B,B,B,B,H,A,C,H,H,B,A,A,A,A,A,A,H,-,A,A,A,A,A,A,A,A,A,A,A,A
34528,1030,0,2.3,H,A,H,H,B,B,B,H,A,H,B,H,B,B,B,B,-,A,A,A,A,A,A,A,A,A,A,H,A,A,A,A,A,A,H,H,H,H,H,H
34529,1054,0,5,A,A,B,B,B,B,B,B,B,H,-,B,H,H,H,A,C,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A
34531,1046,0,0.7,H,H,H,H,H,H,H,H,H,A,A,H,A,A,A,A,-,A,A,H,H,H,H,B,B,H,H,H,H,B,B,B,B,B,B,H,H,H,-,H
34532,994,0,1.5,H,A,H,H,B,B,B,B,H,A,A,B,A,A,A,A,C,H,A,H,H,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34533,1677,1,23.6,H,A,H,H,B,B,B,B,B,H,H,H,H,H,H,A,-,H,H,B,B,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H
34535,1108,0,1.5,H,A,H,B,B,B,B,B,B,H,H,H,H,H,A,A,C,H,H,A,A,B,B,B,B,B,B,H,A,A,A,A,A,H,H,H,H,H,H,H
34539,953,0,1.7,H,H,H,A,H,H,H,B,B,H,H,H,H,H,B,B,-,A,A,A,A,H,H,H,H,H,H,-,B,B,B,B,B,B,B,B,H,A,A,A
34540,1098,0,1.9,A,A,H,H,H,H,H,H,H,A,A,H,A,A,A,A,C,H,H,B,B,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H
34541,1210,1,7.9,A,A,A,A,A,A,H,H,H,A,A,H,A,A,A,A,C,H,H,B,B,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A
34542,NA,0,NA,A,A,A,-,A,A,H,H,H,H,H,H,H,H,H,-,C,H,H,B,B,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H
34543,1178,1,26.7,H,H,A,A,A,A,B,B,B,B,B,B,B,B,H,H,C,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,H,H,H,H,A,A,A
34544,987,0,3.4,H,H,A,A,A,A,B,B,B,B,B,H,B,B,H,H,C,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H
34545,1304,1,24.4,A,A,A,A,A,A,H,H,B,H,H,B,H,H,A,A,C,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,H,H,H,H,A,A,A
34546,1275,1,25.4,A,A,A,A,A,A,B,B,B,B,B,B,B,B,-,H,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H
34547,NA,0,NA,H,A,A,H,H,H,H,B,B,A,A,H,A,A,A,A,-,A,H,H,H,B,B,B,B,B,B,H,H,H,A,A,H,H,H,H,A,A,A,A
34548,1649,1,29.2,A,A,H,H,H,H,B,H,H,B,B,H,B,B,A,H,C,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34549,1625,1,33.4,H,A,H,H,H,H,H,H,H,H,B,H,B,B,H,H,C,H,H,H,H,B,B,B,B,H,H,A,A,A,A,-,H,H,H,H,A,A,A,A
34550,1921,1,26.8,H,A,H,H,H,H,H,H,H,A,H,H,H,H,H,B,C,H,H,H,H,H,H,H,H,B,B,-,A,A,A,H,H,H,H,H,A,A,A,A
34551,1278,1,16.4,A,A,B,B,B,B,B,B,B,A,A,B,A,A,A,A,-,A,A,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34552,1463,1,23.4,A,A,B,B,B,B,B,B,B,A,A,B,A,A,A,A,B,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34553,1464,1,29.5,A,A,H,H,H,H,B,B,B,H,H,B,H,H,H,A,B,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34554,1595,1,24.1,H,H,H,A,A,A,H,H,B,H,H,H,H,-,H,-,-,H,H,A,A,H,H,H,H,H,H,-,A,A,A,A,A,H,H,H,H,H,H,H
34555,1369,1,25.7,H,H,H,A,A,A,A,A,H,H,B,H,B,B,B,B,-,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H
34557,1210,1,37.6,H,H,B,B,B,B,H,H,A,H,H,A,H,H,H,H,-,A,A,A,A,H,H,H,H,H,A,A,A,A,A,A,H,H,H,H,H,H,H,H
34558,NA,1,NA,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,A,-,A,A,A,A,B,B,B,B,B,H,H,H,H,A,A,H,H,H,H,H,H,H,H
34559,1487,1,63.3,H,A,A,A,A,A,A,H,H,H,B,B,B,B,H,A,B,B,B,B,B,H,H,H,H,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A
34560,NA,0,NA,A,A,B,B,B,B,B,B,B,H,H,B,H,H,H,A,-,A,A,H,H,A,A,A,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A
34561,749,0,2.1,A,A,A,A,A,A,A,A,H,A,H,H,H,H,B,H,-,A,A,H,H,A,A,H,H,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A
34562,1404,1,26,A,A,H,A,H,B,H,B,H,A,A,H,A,-,H,A,-,A,A,H,H,A,A,A,A,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A
34563,1072,0,2.1,H,A,A,A,H,H,B,B,B,H,H,B,H,-,H,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34564,1361,1,12,H,A,H,H,H,H,H,H,H,A,A,H,A,A,A,A,C,H,H,B,B,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H
34565,883,0,2.9,A,H,A,A,H,H,H,H,H,B,B,H,B,B,B,H,C,H,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34566,1470,1,40.2,H,H,H,H,B,B,B,B,B,H,H,B,B,B,B,H,C,A,A,A,A,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H
34567,1499,1,36,H,A,H,H,H,H,B,H,H,B,B,A,B,-,A,H,C,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34568,1507,1,32.4,A,A,H,H,H,H,B,H,H,B,B,A,B,B,A,H,C,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34569,803,0,2,B,B,B,B,B,B,H,H,H,H,H,B,H,-,B,B,-,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,A,A,A
